Task,Category
go to gym,Fitness
morning yoga session,Fitness
evening run,Fitness
walking the dog,Fitness
attend fitness class,Fitness
swimming session,Fitness
cycling,Fitness
hiking,Fitness
weight lifting,Fitness
aerobics class,Fitness
pay electricity bill,Bills
pay gym membership,Bills
pay rent,Bills
pay credit card bill,Bills
pay water bill,Bills
pay internet bill,Bills
pay phone bill,Bills
pay insurance premium,Bills
pay mortgage,Bills
pay loan installment,Bills
annual health checkup,Health
dentist appointment,Health
doctor appointment,Health
meditate for 20 minutes,Health
buy vitamins,Health
yoga session,Health
therapy session,Health
buy prescription medicine,Health
health insurance renewal,Health
get flu shot,Health
team meeting at 2 pm,Work
submit project report,Work
attend conference call,Work
finish coding assignment,Work
weekly team sync,Work
prepare presentation,Work
client meeting,Work
review team performance,Work
update project plan,Work
send weekly updates,Work
buy groceries,Errands
pick up dry cleaning,Errands
post office visit,Errands
car maintenance,Errands
bank visit,Errands
buy pet food,Errands
drop off recycling,Errands
pick up kids from school,Errands
buy birthday gift,Errands
return library books,Errands
read a book,Personal Development
take an online course,Personal Development
practice a new language,Personal Development
attend a workshop,Personal Development
write in journal,Personal Development
learn to play an instrument,Personal Development
practice coding,Personal Development
meditation session,Personal Development
watch educational videos,Personal Development
work on a hobby,Personal Development
call a friend,Social
attend a social event,Social
go out for dinner,Social
visit family,Social
plan a party,Social
join a club,Social
volunteer at a local charity,Social
attend a concert,Social
go to a movie,Social
host a game night,Social
